,Odi-Dub,minutes
1,2020-07-27 07:25:00,445
2,2020-07-27 07:55:00,475
3,2020-07-27 08:15:00,495
4,2020-07-27 08:55:00,535
5,2020-07-27 09:55:00,595
6,2020-07-27 10:35:00,635
7,2020-07-27 10:58:00,658
8,2020-07-27 11:47:00,707
9,2020-07-27 14:25:00,865
10,2020-07-27 15:57:00,957
11,2020-07-27 16:59:00,1019
12,2020-07-27 17:55:00,1075
13,2020-07-27 19:15:00,1155
14,2020-07-27 19:55:00,1195
15,2020-07-27 20:44:00,1244
16,2020-07-27 20:55:00,1255
17,2020-07-27 22:00:00,1320
18,2020-07-27 22:40:00,1360
19,2020-07-27 23:42:00,1422
20,2020-07-27 00:40:00,40
