,Abfahrt,Odi_min,Abfahrt_min,Odi
150,00:06,31,6,00:31
151,00:20,46,20,00:46
152,00:27,52,27,00:52
153,00:35,61,35,01:01
154,00:50,76,50,01:16
155,00:56,81,56,01:21
156,01:20,106,80,01:46
0,04:33,298,273,04:58
1,04:50,317,290,05:17
2,05:00,324,300,05:24
3,05:08,333,308,05:33
4,05:28,352,328,05:52
5,05:40,365,340,06:05
6,05:50,376,350,06:16
7,06:00,384,360,06:24
8,06:15,399,375,06:39
9,06:20,406,380,06:46
10,06:25,410,385,06:50
11,06:30,415,390,06:55
12,06:35,421,395,07:01
13,06:40,425,400,07:05
14,06:50,436,410,07:16
15,06:55,440,415,07:20
16,07:05,451,425,07:31
17,07:15,460,435,07:40
18,07:20,466,440,07:46
19,07:25,470,445,07:50
20,07:30,475,450,07:55
21,07:35,481,455,08:01
22,07:40,485,460,08:05
23,07:45,490,465,08:10
24,07:50,496,470,08:16
25,08:00,505,480,08:25
26,08:05,511,485,08:31
27,08:15,522,495,08:42
28,08:20,526,500,08:46
29,08:25,530,505,08:50
30,08:30,536,510,08:56
31,08:35,541,515,09:01
32,08:40,545,520,09:05
33,08:50,556,530,09:16
34,08:55,560,535,09:20
35,09:00,565,540,09:25
36,09:05,571,545,09:31
37,09:20,586,560,09:46
38,09:24,590,564,09:50
39,09:30,596,570,09:56
40,09:35,601,575,10:01
41,09:42,608,582,10:08
42,09:50,616,590,10:16
43,10:00,625,600,10:25
44,10:05,631,605,10:31
45,10:11,635,611,10:35
46,10:20,646,620,10:46
47,10:30,655,630,10:55
48,10:35,661,635,11:01
49,10:42,666,642,11:06
50,10:50,676,650,11:16
51,10:55,680,655,11:20
52,11:00,686,660,11:26
53,11:05,691,665,11:31
54,11:15,699,675,11:39
55,11:20,706,680,11:46
56,11:35,721,695,12:01
57,11:40,725,700,12:05
58,11:50,736,710,12:16
59,12:05,751,725,12:31
60,12:20,766,740,12:46
61,12:35,781,755,13:01
62,12:50,796,770,13:16
63,13:05,811,785,13:31
64,13:20,826,800,13:46
65,13:35,841,815,14:01
66,13:42,846,822,14:06
67,13:50,856,830,14:16
68,13:55,860,835,14:20
69,14:00,865,840,14:25
70,14:05,871,845,14:31
71,14:20,886,860,14:46
72,14:25,890,865,14:50
73,14:30,894,870,14:54
74,14:35,901,875,15:01
75,14:40,905,880,15:05
76,14:50,916,890,15:16
77,15:00,925,900,15:25
78,15:05,931,905,15:31
79,15:10,935,910,15:35
80,15:20,946,920,15:46
81,15:28,952,928,15:52
82,15:35,961,935,16:01
83,15:40,965,940,16:05
84,15:45,971,945,16:11
85,15:50,976,950,16:16
86,16:00,985,960,16:25
87,16:05,991,965,16:31
88,16:15,1000,975,16:40
89,16:20,1006,980,16:46
90,16:25,1010,985,16:50
91,16:30,1015,990,16:55
92,16:35,1021,995,17:01
93,16:40,1025,1000,17:05
94,16:45,1031,1005,17:11
95,16:50,1036,1010,17:16
96,16:55,1040,1015,17:20
97,17:00,1045,1020,17:25
98,17:05,1051,1025,17:31
99,17:15,1060,1035,17:40
100,17:20,1066,1040,17:46
101,17:25,1070,1045,17:50
102,17:30,1075,1050,17:55
103,17:35,1081,1055,18:01
104,17:40,1085,1060,18:05
105,17:50,1096,1070,18:16
106,18:00,1105,1080,18:25
107,18:05,1111,1085,18:31
108,18:11,1115,1091,18:35
109,18:20,1126,1100,18:46
110,18:30,1135,1110,18:55
111,18:35,1141,1115,19:01
112,18:41,1145,1121,19:05
113,18:50,1156,1130,19:16
114,18:55,1160,1135,19:20
115,19:00,1165,1140,19:25
116,19:05,1171,1145,19:31
117,19:10,1175,1150,19:35
118,19:20,1186,1160,19:46
119,19:25,1190,1165,19:50
120,19:30,1195,1170,19:55
121,19:35,1201,1175,20:01
122,19:45,1212,1185,20:12
123,19:50,1216,1190,20:16
124,19:55,1220,1195,20:20
125,20:00,1226,1200,20:26
126,20:05,1231,1205,20:31
127,20:10,1235,1210,20:35
128,20:15,1240,1215,20:40
129,20:20,1246,1220,20:46
130,20:25,1250,1225,20:50
131,20:35,1261,1235,21:01
132,20:45,1271,1245,21:11
133,20:50,1276,1250,21:16
134,21:00,1286,1260,21:26
135,21:05,1291,1265,21:31
136,21:20,1306,1280,21:46
137,21:30,1316,1290,21:56
138,21:35,1321,1295,22:01
139,21:40,1325,1300,22:05
140,21:45,1330,1305,22:10
141,21:50,1336,1310,22:16
142,22:20,1366,1340,22:46
143,22:30,1376,1350,22:56
144,22:45,1390,1365,23:10
145,22:50,1396,1370,23:16
146,22:57,1402,1377,23:22
147,23:20,1426,1400,23:46
148,23:25,1431,1405,23:51
149,23:51,16,1431,00:16
